Name,Energy
4z2b,-41.45
6n78,-41.39
3up2,-41.35
4uj2,-41.33
4rwj,-41.26
3vha,-41.13
2yi7,-41.11
3sww,-41.02
4lko,-40.99
6o95,-40.91
5exm,-40.84
5upf,-40.83
3v5p,-40.78
5igm,-40.76
5vsf,-40.65
2qi6,-40.59
3k97,-40.53
3roc,-40.46
6n7a,-40.44
TRYB1-a,-40.42
2pvk,-40.32
TRYB1-a,-40.13
2ax9,-40.07
3vhd,-40.02
3NTB,-40
5lwm,-39.98
4x5z,-39.87
2fvd,-39.83
5v82,-39.78
3lxk,-39.67
4h3j,-39.67
3udd,-39.64
2pvj,-39.61
5n84,-39.51
1d3d,-39.45
4wov,-39.27
4jia,-39.16
4bcn,-39.13
5kz0,-38.93
5fto,-38.92
6n7b,-38.9
2w26,-38.88
6gzm,-38.85
4ghi,-38.84
3kr8,-38.78
3l3m,-38.76
3bgq,-38.68
1owh,-38.68
5e2o,-38.66
1g48,-38.62
2yi0,-38.61
2p95,-38.6
1mu8,-38.57
3k99,-38.56
TRYB1-a,-38.52
3m37,-38.48
TRYB1-a,-38.36
5tbm,-38.35
ADRB1-a,-38.34
1f0u,-38.33
4gj3,-38.27
4qjw,-38.17
TRYB1-a,-38.11
1sqo,-38.06
3ZPR,-38.02
5f62,-38
3uod,-37.99
3i5z,-37.98
3ps1,-37.87
5ogb,-37.87
5f60,-37.84
2wgj,-37.83
6q3z,-37.81
4FM5,-37.77
TRYB1-a,-37.72
2ETM,-37.71
TRYB1-a,-37.67
5aa9,-37.61
4qew,-37.58
3vhc,-37.54
6k3l,-37.52
3Q7D,-37.46
3ekr,-37.45
6q3y,-37.31
6n79,-37.21
4uye,-37.11
5n93,-37.05
4hge,-36.97
TRYB1-a,-36.95
TRYB1-a,-36.94
3zm9,-36.89
5xsr,-36.88
4hym,-36.8
6ckr,-36.75
4loo,-36.74
3zbx,-36.72
5exl,-36.7
3pe1,-36.67
6evr,-36.67
TRYB1-a,-36.66
4ivd,-36.54
3ZPQ,-36.51
5ueu,-36.5
5nap,-36.49
4ual,-36.41
3RR3,-36.4
1ta6,-36.38
6cks,-36.31
4qev,-36.27
3qdd,-36.08
1nfx,-36.01
3pe2,-35.92
3g0e,-35.92
1bn1,-35.88
6p3v,-35.79
4qge,-35.78
4k0y,-35.73
6gvf,-35.73
3ug2,-35.72
3p5o,-35.72
TRYB1-a,-35.68
5ceq,-35.6
1q5k,-35.57
3o84,-35.48
6u5y,-35.47
2ojj,-35.37
5u28,-35.35
4cmo,-35.34
2i6b,-35.33
3m36,-35.32
5hct,-35.32
6n7d,-35.27
5wex,-35.22
6ckw,-35.19
5vc3,-35.16
4ap7,-35.15
2uwo,-35.11
1mmq,-35.08
4gii,-35.03
5f1h,-34.93
5vd2,-34.85
1HWJ,-34.73
TRYB1-a,-34.69
4gih,-34.66
1o3d,-34.44
3myg,-34.33
TRYB1-a,-34.29
4knm,-34.23
5i3v,-34.19
6fa4,-34.19
1ndz,-34.09
1nfu,-33.99
2yek,-33.92
5ha1,-33.83
6k04,-33.79
4ty7,-33.76
4cwr,-33.72
5i7y,-33.66
6g5l,-33.52
5eu1,-33.4
2ydw,-33.39
6e4a,-33.38
2yel,-33.35
3ui7,-33.25
4gj2,-33.24
5nlk,-33.2
5ld8,-33.18
4std,-33.14
1n0s,-33.13
6ei5,-33.11
5llh,-33.05
5xvg,-32.95
3e5a,-32.88
5gsa,-32.81
1v7a,-32.79
1g46,-32.71
6p3t,-32.66
3LN0,-32.61
6iiu,-32.56
5nau,-32.53
4z1j,-32.48
5i9z,-32.46
5i1q,-32.35
3znr,-32.28
2c3i,-32.2
4ql1,-32.16
4djx,-32.1
2qi0,-31.89
1o2q,-31.84
6hk4,-31.72
5c2a,-31.69
5w2s,-31.69
5llp,-31.59
4ivc,-31.52
1nfy,-31.09
1f0s,-30.97
1ttm,-30.92
2uxi,-30.85
1o2h,-30.79
4bf6,-30.73
6guh,-30.65
6dl2,-30.58
1elb,-30.57
4ivb,-30.54
3ml2,-30.5
4z0q,-30.43
1efy,-30.42
3n2p,-30.37
4x6m,-30.36
1g45,-30.31
5wal,-30.19
4asj,-30.18
1z9y,-30.15
4djy,-29.89
3uuo,-29.83
3zze,-29.82
3ehx,-29.71
3tt4,-29.7
5y8y,-29.42
5e2s,-29.24
6b96,-29.23
5tfx,-29.1
4hy1,-28.87
2ovv,-28.82
3dd8,-28.58
3f17,-28.45
1g54,-28.42
5drr,-28.32
1u71,-28.31
4jh0,-28.24
4z1e,-28.1
4e4n,-27.96
1o3i,-27.95
5sz3,-27.92
3rlp,-27.9
4dff,-27.85
5sz6,-27.77
1nfw,-27.68
5ula,-27.67
3nb5,-27.64
2oag,-27.62
3oy0,-27.6
5ipj,-27.56
1zoe,-27.3
5mpk,-27.27
3rlq,-27.05
3b92,-27.02
3u8n,-26.76
4knn,-26.73
4c9x,-26.49
5edl,-26.38
2e1w,-26.38
3fl5,-26.29
966c,-25.99
5wl0,-25.92
3rlr,-25.86
2XY9,-25.68
2qi1,-25.47
2ovy,-25.46
4arw,-25.45
5dh4,-25.42
3zns,-25.35
3ryx,-25.28
5win,-25.27
3n3j,-25.13
6h36,-24.93
1uvt,-24.9
5upj,-24.9
4gq4,-24.87
3myq,-24.77
4ei4,-24.72
1bn3,-24.7
5e2r,-24.7
4iva,-24.61
1o3f,-24.21
2psv,-24.09
3G8O,-24.08
1uml,-24.05
1qxl,-23.96
5j9x,-23.87
2y82,-23.73
4elf,-23.72
5een,-23.43
2wn9,-23.31
3f8c,-23.15
3u8l,-22.82
1bnn,-22.76
6h37,-22.73
4yth,-22.7
4ha5,-22.7
4itp,-22.61
6ql2,-22.5
TRYB1-a,-22.46
5byi,-22.37
4gfm,-22.15
3r16,-22.1
1g36,-21.89
1usn,-21.82
TRYB1-a,-21.78
3le9,-21.75
5cjf,-21.6
3rz1,-21.21
1CX2,-21.15
2OC2,-20.74
3rz7,-20.44
4d7b,-19.92
5fl5,-19.83
3c84,-19.76
3pbb,-19.44
4knj,-18.78
3lea,-18.44
2Q1L,-18.29
5llc,-18.22
3mdz,-18.22
2j95,-17.75
3m5e,-17.05
2yfx,-16.89
5n1r,-16.35
4K8A,-16.34
3LN1,-15.02
2oi0,-14.95
3d9z,-14.81
3c79,-14.45
2ole,-14.37
3oyq,-14.32
3rz5,-14.29
1xpz,-14.26
4r76,-13.99
5fl6,-13.64
3GBB,-13.57
5zg3,-13.53
5wyz,-13.41
1HWI,-13.16
3BZ3,-13.14
5ljq,-12.99
3p5l,-12.26
3p3r,-11.79
2boh,-11.37
2WKY,-10.73
6dpt,-9.27
3PGH,-8.57
2QS1,-7.84
2PBW,-5.13
4qac,-4.56
1E3K,-2.38
2bq7,-1.36
4KAB,-0.78
2OVH,-0.21
1SQN,-0.19
1HW9,0
1HWK,0
1HWL,0
2AB2,0
3GBA,0
3HS6,0
3NT1,0
4E1G,0
4GU9,0
1DQ8,0.07
