Name,Energy
4o0x,-38.3
3rwp,-38.22
1xh4,-38.21
5l7g,-38.21
3hek,-38.18
6g6t,-38.15
5lwm,-38.1
2j34,-38.01
4I4E,-37.92
3t3u,-37.84
6qas,-37.82
3zc5,-37.76
3ZPR,-37.71
3zcl,-37.64
4djx,-37.55
3sxf,-37.5
2ves,-37.43
5ogb,-37.38
5ufp,-37.37
4crb,-37.24
1fjs,-37.13
5e2o,-37.13
5e2p,-36.98
TRYB1-active,-36.95
TRYB1-active,-36.94
3b1m,-36.93
2uwd,-36.91
3p3g,-36.85
6qr7,-36.69
5drr,-36.66
4j21,-36.65
2v58,-36.65
5f60,-36.65
1HWJ,-36.63
2xjg,-36.62
6qav,-36.59
2wyj,-36.4
1xws,-36.35
4ty6,-36.33
3hll,-36.17
2xab,-36.04
TRYB1-active,-36.03
3miy,-35.98
4knn,-35.98
5n84,-35.82
5xsr,-35.82
5n93,-35.79
5l2s,-35.76
4ujb,-35.72
5h8g,-35.7
4x5z,-35.5
5upf,-35.49
2ax9,-35.44
1n0s,-35.44
5exm,-35.32
6qau,-35.3
3l3m,-35.25
4q6d,-35.22
5f62,-35.16
1q5k,-35.16
4APU,-35.09
2y7z,-35.08
6n78,-35.01
3o84,-35.01
2j4i,-34.99
4i5c,-34.84
3uod,-34.75
1mq5,-34.72
4isi,-34.7
4p5z,-34.66
5cap,-34.66
3bgq,-34.65
4ghi,-34.62
4qyy,-34.53
3d7z,-34.53
3k97,-34.48
6gwr,-34.34
3roc,-34.34
2fvd,-34.25
5aa9,-34.22
ADRB1-active,-34.21
3myg,-34.19
6n7a,-34.17
2i6b,-34.05
3wha,-34.04
5ceq,-33.88
2F35,-33.77
4z2b,-33.77
5ehr,-33.58
6q3z,-33.55
2yi7,-33.41
1f0u,-33.38
3udd,-33.36
5ime,-33.22
5een,-33.13
3vhd,-33.11
1qbo,-33.09
3zxz,-33.04
3qgy,-33.03
5u6j,-33
5f1h,-32.94
2qi0,-32.89
5kz0,-32.85
4ty7,-32.72
2vh0,-32.7
5x74,-32.68
4cmo,-32.68
1k1m,-32.62
5hct,-32.6
5igm,-32.56
1o5r,-32.55
6q3y,-32.54
1b8y,-32.45
1nfx,-32.34
2ayr,-32.33
5vc3,-32.32
4gj2,-32.29
2vh6,-32.28
3v5t,-32.21
3qdd,-32.19
4c2v,-32.14
4gih,-32.12
4ual,-32.1
6cks,-32.07
6o95,-32.06
6ckr,-32.06
1mmq,-32.04
4knm,-32.01
5l7h,-32
5n1s,-31.95
1ksn,-31.93
6n7b,-31.85
4aoi,-31.81
1f0r,-31.8
5eu1,-31.8
3g0e,-31.79
6ckw,-31.75
3vha,-31.74
2w26,-31.69
2wyg,-31.65
6chp,-31.6
TRYB1-active,-31.59
4cws,-31.44
6n79,-31.35
5u28,-31.01
3LN0,-30.99
1g4o,-30.98
2ETM,-30.88
2p95,-30.85
4gj3,-30.81
3vhc,-30.81
6p3v,-30.69
4s1g,-30.66
4bcn,-30.62
1d3p,-30.59
4uye,-30.56
1ta6,-30.51
5i9x,-30.49
4jia,-30.49
2uwl,-30.36
4gii,-30.36
2yi0,-30.35
5ueu,-30.35
2yel,-30.33
4qev,-30.27
1if8,-30.25
5vc4,-30.13
6gvf,-30.11
4ytc,-30.09
3iph,-30.07
4loo,-29.97
5zc5,-29.92
3ekr,-29.92
1o2q,-29.89
5dh4,-29.88
5i7y,-29.71
5nlk,-29.66
4ql1,-29.58
3lxk,-29.55
3ug2,-29.54
4qew,-29.5
5xvg,-29.43
6evr,-29.41
6fa4,-29.38
1nfu,-29.31
2qi6,-29.28
3p5o,-29.28
1i9p,-29.26
6k04,-29.21
2wgj,-29.14
4v01,-29.01
4o0y,-29
4jh0,-28.97
3pe1,-28.96
5c8n,-28.89
5vd2,-28.87
3hl7,-28.81
5llh,-28.76
1zoe,-28.75
4c9x,-28.72
5i9z,-28.67
5tbm,-28.62
2oag,-28.56
5y8y,-28.53
6p3t,-28.47
3up2,-28.42
6e4a,-28.4
ADRB1-active,-28.3
6u5y,-28.24
3kr8,-28.17
2pvk,-28.04
5xva,-28
5llp,-27.91
6hsh,-27.71
3OLT,-27.69
3n2p,-27.69
3ui7,-27.67
2uxi,-27.66
5wl0,-27.63
2ydw,-27.51
4hge,-27.48
1o2h,-27.43
4uj2,-27.4
6gzm,-27.4
3k99,-27.25
2QS2,-27.2
3pe2,-27.19
5c2a,-27.16
4crc,-27.08
5w2s,-27.04
2yek,-26.99
1sqo,-26.9
5ha1,-26.89
3zm9,-26.61
4k0y,-26.45
1g45,-26.38
5my8,-26.27
6k3l,-26.22
2ojj,-26.22
4bf6,-26.19
2c3i,-26.08
5exl,-25.98
1g46,-25.78
6ei5,-25.45
5i1q,-25.34
5ef7,-25.29
3zbx,-25.12
4cwr,-25.06
4std,-24.97
4h3f,-24.89
2pvj,-24.77
1uml,-24.75
3ml2,-24.72
3e5a,-24.66
1elb,-24.63
3HQ5,-24.48
4rwj,-24.43
1o3i,-24.21
ADRB1-active,-24.1
3b92,-24.05
2ovy,-24
1nfw,-23.96
5fto,-23.84
4ivd,-23.81
4z1j,-23.75
6gzd,-23.71
3c79,-23.62
4ivb,-23.53
3rlq,-23.31
5wex,-23.28
1d3d,-23.2
4ap7,-22.98
5sz6,-22.88
1o3f,-22.76
6n7d,-22.71
1nfy,-22.47
TRYB1-active,-22.28
2uwo,-22.18
5upj,-22.07
4ei4,-22.02
4qjw,-22
4h3g,-21.92
6iiu,-21.9
3znr,-21.89
3zze,-21.83
4arw,-21.37
1o3d,-21.35
3tt4,-21.28
3f17,-21.25
4ha5,-21.25
4djy,-21.24
2F34,-21.16
TRYB1-active,-20.77
3dd8,-20.77
4knj,-20.77
TRYB1-active,-20.75
4e4n,-20.6
3uuo,-20.53
6hrq,-20.52
5i3w,-20.38
5ula,-20.37
6b96,-20.33
2ovv,-20.3
6htg,-20.18
5wal,-19.96
3G8O,-19.93
3mdz,-19.91
5nau,-19.87
1owh,-19.5
2psv,-19.32
4hym,-19.25
5i3v,-19.19
4asj,-19.11
5mjn,-19.1
3n3j,-18.97
5e2r,-18.89
1u71,-18.68
4z0q,-18.48
3ryx,-18.41
1g36,-18.21
1bn3,-18.04
1bnn,-18.04
6hk4,-18.02
6guh,-17.97
1CX2,-17.81
3pbb,-17.75
ADRB1-active,-17.65
2e1w,-17.47
2ole,-17.33
6h37,-17.06
5ld8,-16.88
4gfm,-16.75
5nap,-16.6
2Q1L,-16.32
4x6m,-16.14
3f8c,-16.1
3c84,-15.87
2wn9,-15.8
3lea,-15.68
5e2s,-15.6
3ps1,-14.99
2yfx,-14.86
1bn1,-14.28
4hy1,-14.05
4d7b,-13.7
4yth,-13.69
1g54,-13.58
5ipj,-13.56
5byi,-13.54
4dff,-13.52
3r16,-13.41
6h36,-13.36
3fl5,-13.35
3u8l,-13.24
4K8A,-13.21
3m5e,-12.88
5sz3,-12.74
3u8n,-12.69
3LN1,-12.62
2oi0,-12.33
1HWI,-12.32
2y82,-11.82
3nb5,-11.76
966c,-11.67
3zns,-11.65
5edl,-11.32
1uvt,-10.78
3BZ3,-10.63
1efy,-10.15
1ttm,-9.5
1f0s,-9.28
3oy0,-8.81
2WKY,-8.73
3PGH,-8.69
3GBB,-8.55
6dl2,-8.15
4ivc,-7.59
1usn,-6.66
4elf,-6.48
2QS1,-6.07
5win,-5.97
5mpk,-4.97
4iva,-4.97
1v7a,-4.79
3rz1,-4.7
2PBW,-4.62
3ehx,-4.25
1z9y,-3.39
3rlp,-3.2
1E3K,-2.33
3rz7,-2.17
4z1e,-1.3
4KAB,-0.64
1SQN,-0.22
2OVH,-0.18
1HWK,-0.17
1HWL,-0.17
1HW9,-0.14
1DQ8,-0.13
3oyq,-0.13
3GBA,-0.07
4GU9,0.02
4E1G,0.09
2AB2,0.12
3HS6,0.13
3NT1,0.14
3d9z,0.29
3myq,0.84
1qxl,1.41
4itp,2.23
5llc,3.13
6ql2,3.23
5j9x,7.04
5cjf,9.25
4gq4,11.49
5n1r,12.59
1ndz,19.97
2j95,27.4
2qi1,34.41
6g5l,75.81
